Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
benchmarks/constant_1_ms/short/delayedTreeReduce,1.399358819322164e-2,1.3991538234704745e-2,1.3995474044345195e-2,5.251102468208483e-6,4.016301439705714e-6,7.178559962976823e-6
benchmarks/constant_1_ms/short/delayedReduce,1.4006915397759905e-2,1.3994497261305234e-2,1.4047183043716124e-2,4.9165896202154684e-5,1.3282141023003299e-5,9.495945031467476e-5
benchmarks/constant_1_ms/short/delayedFoldLReduce,0.19985838194444464,0.19943816666666722,0.20005590416666677,3.7743405805244827e-4,4.169226161085046e-5,5.376992347021386e-4
benchmarks/constant_1_ms/short/delayedFoldRReduce,0.1999188216666665,0.19969897222222188,0.2000581522222218,2.4327288640792487e-4,1.2909766260757262e-4,3.3913047352676846e-4
benchmarks/constant_1_ms/medium/delayedTreeReduce,2.5012450187317722e-2,2.483865846415459e-2,2.5219589335967945e-2,4.291641012888128e-4,3.055843665846317e-4,5.589390691739079e-4
benchmarks/constant_1_ms/medium/delayedReduce,2.230992807490663e-2,2.2213400944457964e-2,2.2388753875043025e-2,1.9926545374985235e-4,1.4005161093107594e-4,2.872861171655591e-4
benchmarks/constant_1_ms/medium/delayedFoldLReduce,2.000567479166666,2.000339133333333,2.000795824999999,2.781209060866754e-4,1.2490973073845676e-4,3.2984020878742244e-4
benchmarks/constant_1_ms/medium/delayedFoldRReduce,1.99983678125,1.9994654999999995,1.9999693875000002,2.488111092236038e-4,5.369357500573221e-6,3.062410165354206e-4
benchmarks/constant_10_ms/short/delayedTreeReduce,7.687314106349291e-2,7.66817435714302e-2,7.697315461904827e-2,2.1602886173558642e-4,1.1587485197372374e-5,3.038693706201469e-4
benchmarks/constant_10_ms/short/delayedReduce,7.673775314285683e-2,7.660312242857148e-2,7.686222799999896e-2,2.2056358895282058e-4,1.7299288399934783e-4,2.6251286717552687e-4
benchmarks/constant_10_ms/short/delayedFoldLReduce,1.0957739687500014,1.0923105374999995,1.0983463062500016,3.674383687741205e-3,2.162849999997718e-3,4.555336925177712e-3
benchmarks/constant_10_ms/short/delayedFoldRReduce,1.0998063812499985,1.0993007999999946,1.099975724999999,3.3708057974507396e-4,3.3197640417664863e-7,3.910826385935932e-4
benchmarks/constant_10_ms/medium/delayedTreeReduce,0.11367966949404955,0.1133806590773873,0.1139395583333318,4.4172362866922544e-4,3.3294279768288407e-4,5.390211492665921e-4
benchmarks/constant_10_ms/medium/delayedReduce,0.11249422787202258,0.11217053999999926,0.11278065031249795,4.593244986927567e-4,3.47435686113655e-4,5.423376470646286e-4
benchmarks/constant_10_ms/medium/delayedFoldLReduce,10.988151352083328,10.97335170625,10.996383333333323,1.4494274402523929e-2,5.076833367137629e-4,1.9010946362595087e-2
benchmarks/constant_10_ms/medium/delayedFoldRReduce,10.93808613333333,10.86867253333334,10.975139283333325,6.704853776480522e-2,3.0850633333320054e-2,8.557058450728248e-2
benchmarks/constant_100_ms/short/delayedTreeReduce,0.7070453687499914,0.7069665375000014,0.7072006999999729,1.546007268224902e-4,5.051814842654508e-7,1.815477921248006e-4
benchmarks/constant_100_ms/short/delayedReduce,0.7070351479166467,0.7069722833333383,0.7071551562499394,1.1854585028417103e-4,4.3782394042825084e-7,1.4474171244202341e-4
benchmarks/constant_100_ms/short/delayedFoldLReduce,10.09428418750001,10.084959149999984,10.09901710000002,8.95829287742543e-3,2.815749999882655e-4,1.0930193223727796e-2
benchmarks/constant_100_ms/short/delayedFoldRReduce,10.09854293958333,10.094745133333353,10.099851893749985,2.5437446180812365e-3,1.7464845713755991e-6,3.0246466464727228e-3
benchmarks/constant_100_ms/medium/delayedTreeReduce,1.0136521187499927,1.0130776749999768,1.0141271749999987,5.725145338100019e-4,1.9735000000764558e-4,6.637218694824282e-4
benchmarks/constant_100_ms/medium/delayedReduce,1.0130342499999994,1.012951750000004,1.0131692749999957,1.2822393172091118e-4,4.3301270299114455e-6,1.5807850370539616e-4
benchmarks/constant_100_ms/medium/delayedFoldLReduce,100.47917545625,100.36614196875,100.61391321250001,0.15914220606265003,6.545730000001271e-2,0.20129102072322266
benchmarks/constant_100_ms/medium/delayedFoldRReduce,100.56140506666667,100.54907299999996,100.58452546666668,2.2740969310128204e-2,3.665404409602911e-4,2.811314759778549e-2
benchmarks/uniform_0_2_ms/short/delayedTreeReduce,1.950431639678925e-2,1.9384708041993253e-2,1.9632865563185657e-2,3.184623374116472e-4,2.657170539165633e-4,3.970483797345618e-4
benchmarks/uniform_0_2_ms/short/delayedReduce,1.998940116064684e-2,1.986947868483255e-2,2.0122867797926904e-2,2.9048408457503017e-4,2.2340187905657812e-4,4.257090398633816e-4
benchmarks/uniform_0_2_ms/short/delayedFoldLReduce,0.24818398933339875,0.24462988999994195,0.25118890199990346,4.504823140226814e-3,3.093963505238738e-3,5.81719696643506e-3
benchmarks/uniform_0_2_ms/short/delayedFoldRReduce,0.24360900033334473,0.23705023333350256,0.24603408733328253,4.840728631523506e-3,7.087867503543155e-4,6.575450381880448e-3
benchmarks/uniform_0_2_ms/medium/delayedTreeReduce,3.53684795488587e-2,3.5117447179078706e-2,3.5637216417127394e-2,5.852119542800654e-4,4.5070712527849673e-4,7.590541715114327e-4
benchmarks/uniform_0_2_ms/medium/delayedReduce,3.32542687295244e-2,3.297781924988974e-2,3.361412192080533e-2,6.487886590575188e-4,4.749513581238226e-4,9.247751761565417e-4
benchmarks/uniform_0_2_ms/medium/delayedFoldLReduce,2.459151820833275,2.449341516666588,2.4759243124999557,1.6050231153885895e-2,2.0621666673537042e-4,1.948626440552891e-2
benchmarks/uniform_0_2_ms/medium/delayedFoldRReduce,2.4513355041664227,2.432659799999783,2.4587169541663343,1.322681214742129e-2,1.8558635725841582e-3,1.704672857783499e-2
benchmarks/uniform_0_20_ms/short/delayedTreeReduce,0.1060146100397372,0.1036993532276051,0.10813391554236879,3.6264000249405775e-3,2.8180107778067827e-3,4.397751256920969e-3
benchmarks/uniform_0_20_ms/short/delayedReduce,0.11698265119042685,0.11477930059518149,0.12012004166647709,4.043552988303492e-3,2.1586492110490354e-3,6.820994925117246e-3
benchmarks/uniform_0_20_ms/short/delayedFoldLReduce,1.1607820812501093,1.1226102875000756,1.2174743875001468,5.411611967505696e-2,1.4488375000003884e-2,7.142424717538612e-2
benchmarks/uniform_0_20_ms/short/delayedFoldRReduce,1.1707689583331178,1.1323079708333428,1.2026323958330825,4.042944573683685e-2,1.68439250001029e-2,5.413576760560713e-2
benchmarks/uniform_0_20_ms/medium/delayedTreeReduce,0.16455895649671257,0.15799017193890272,0.1700751291157077,8.748321942850794e-3,5.722060485823362e-3,1.1898716344676357e-2
